card_id,disp_id,type,issued
593,3787,junior,98010600:00:00
481,3102,junior,98010600:00:00
304,1913,classic,98010600:00:00
149,858,classic,98010700:00:00
659,4258,classic,98010800:00:00
517,3291,classic,98010900:00:00
368,2361,classic,98011000:00:00
482,3104,junior,98011300:00:00
689,4473,classic,98011500:00:00
557,3567,classic,98011700:00:00
897,7576,classic,98011800:00:00
803,5727,classic,98011900:00:00
401,2532,classic,98011900:00:00
760,5126,classic,98011900:00:00
274,1759,classic,98012100:00:00
28,174,junior,98012200:00:00
904,7672,classic,98012200:00:00
474,3066,junior,98012400:00:00
214,1292,classic,98012400:00:00
55,335,classic,98012500:00:00
340,2155,classic,98012500:00:00
724,4701,gold,98012700:00:00
67,429,junior,98012800:00:00
236,1440,junior,98012900:00:00
68,434,classic,98013100:00:00
348,2203,classic,98020200:00:00
65,414,classic,98020200:00:00
1239,13442,junior,98020200:00:00
165,996,junior,98020400:00:00
249,1517,classic,98020600:00:00
246,1492,classic,98020800:00:00
720,4674,junior,98020900:00:00
518,3292,gold,98021000:00:00
459,2958,gold,98021100:00:00
655,4231,classic,98021300:00:00
624,3985,junior,98021300:00:00
398,2522,classic,98021400:00:00
796,5579,classic,98022000:00:00
100,562,gold,98022100:00:00
574,3640,junior,98022300:00:00
360,2308,classic,98022400:00:00
391,2493,classic,98022400:00:00
283,1800,classic,98022500:00:00
726,4721,classic,98022600:00:00
132,731,junior,98022600:00:00
463,2982,classic,98022600:00:00
21,132,classic,98022600:00:00
529,3357,classic,98022700:00:00
946,8359,junior,98022800:00:00
419,2626,classic,98022800:00:00
248,1512,classic,98030100:00:00
215,1296,classic,98030200:00:00
225,1359,classic,98030300:00:00
643,4157,classic,98030400:00:00
844,6567,junior,98030400:00:00
672,4349,classic,98030700:00:00
276,1765,classic,98030700:00:00
1230,13312,classic,98030800:00:00
599,3824,gold,98030800:00:00
72,447,classic,98030900:00:00
1199,12826,classic,98030900:00:00
48,295,classic,98031000:00:00
58,358,classic,98031100:00:00
334,2133,classic,98031300:00:00
2,19,classic,98031300:00:00
228,1382,junior,98031500:00:00
244,1480,classic,98031600:00:00
1189,12683,classic,98031700:00:00
198,1211,junior,98031800:00:00
34,225,classic,98032000:00:00
535,3395,classic,98032200:00:00
269,1718,gold,98032200:00:00
515,3268,classic,98032300:00:00
290,1833,classic,98032400:00:00
315,2005,junior,98032400:00:00
784,5461,classic,98032400:00:00
63,378,junior,98032700:00:00
417,2619,classic,98033000:00:00
619,3958,classic,98040100:00:00
191,1168,junior,98040200:00:00
965,8636,classic,98040200:00:00
444,2815,gold,98040300:00:00
370,2374,classic,98040300:00:00
156,906,junior,98040700:00:00
492,3166,classic,98040900:00:00
52,326,gold,98041000:00:00
71,441,classic,98041100:00:00
775,5253,gold,98041100:00:00
330,2124,classic,98041100:00:00
510,3256,classic,98041300:00:00
170,1020,classic,98041600:00:00
338,2146,classic,98041600:00:00
755,5002,classic,98041600:00:00
451,2888,junior,98041600:00:00
263,1668,gold,98041700:00:00
602,3846,junior,98041800:00:00
498,3186,classic,98041800:00:00
933,7959,junior,98042100:00:00
89,497,classic,98042200:00:00
761,5128,gold,98042300:00:00
176,1049,classic,98042500:00:00
1102,11183,classic,98042500:00:00
109,605,classic,98042600:00:00
421,2644,classic,98042700:00:00
918,7796,classic,98042700:00:00
680,4417,classic,98042900:00:00
824,6196,classic,98042900:00:00
448,2864,classic,98042900:00:00
1194,12781,junior,98043000:00:00
331,2125,gold,98050100:00:00
734,4765,classic,98050100:00:00
235,1438,classic,98050200:00:00
284,1807,classic,98050700:00:00
412,2585,classic,98050900:00:00
64,402,classic,98051000:00:00
186,1133,gold,98051200:00:00
458,2951,gold,98051400:00:00
465,2995,classic,98051500:00:00
457,2948,junior,98051600:00:00
456,2929,classic,98051600:00:00
645,4166,classic,98051700:00:00
906,7683,gold,98051800:00:00
756,5012,classic,98051800:00:00
218,1322,classic,98051800:00:00
717,4654,classic,98051900:00:00
8,60,junior,98052000:00:00
700,4533,junior,98052200:00:00
757,5013,junior,98052200:00:00
126,707,classic,98052300:00:00
358,2287,junior,98052300:00:00
639,4112,classic,98052300:00:00
212,1280,classic,98052400:00:00
415,2609,classic,98052500:00:00
161,963,classic,98052500:00:00
207,1244,classic,98052500:00:00
1216,13097,classic,98052600:00:00
649,4190,classic,98052900:00:00
475,3075,gold,98053100:00:00
586,3756,classic,98053100:00:00
446,2841,classic,98060400:00:00
823,6178,classic,98060500:00:00
644,4165,classic,98060500:00:00
111,615,classic,98060500:00:00
469,3026,classic,98060700:00:00
17,127,classic,98060700:00:00
558,3568,classic,98060700:00:00
192,1169,classic,98060800:00:00
631,4061,junior,98060900:00:00
317,2015,classic,98061000:00:00
716,4651,junior,98061100:00:00
7,56,classic,98061100:00:00
863,6906,classic,98061200:00:00
123,679,classic,98061200:00:00
770,5232,classic,98061500:00:00
143,816,classic,98061500:00:00
785,5468,classic,98061600:00:00
646,4167,classic,98061700:00:00
160,954,classic,98061700:00:00
669,4341,classic,98061900:00:00
101,566,classic,98061900:00:00
332,2126,classic,98061900:00:00
362,2320,gold,98062100:00:00
173,1031,classic,98062100:00:00
16,116,classic,98062300:00:00
365,2332,classic,98062300:00:00
701,4534,classic,98062400:00:00
80,471,classic,98062500:00:00
831,6275,classic,98062900:00:00
354,2265,gold,98063000:00:00
250,1522,classic,98063000:00:00
142,810,classic,98070100:00:00
991,9149,junior,98070100:00:00
1192,12736,classic,98070200:00:00
738,4808,junior,98070200:00:00
627,3994,classic,98070500:00:00
696,4516,classic,98070500:00:00
260,1616,classic,98070500:00:00
768,5223,classic,98070600:00:00
233,1418,classic,98070700:00:00
450,2880,classic,98070700:00:00
440,2782,classic,98070700:00:00
301,1899,classic,98070700:00:00
485,3124,classic,98070800:00:00
567,3611,classic,98070800:00:00
66,425,classic,98070800:00:00
1002,9261,classic,98070900:00:00
453,2911,gold,98071200:00:00
277,1777,gold,98071200:00:00
571,3627,junior,98071300:00:00
687,4471,classic,98071400:00:00
640,4115,classic,98071400:00:00
39,254,classic,98071400:00:00
435,2740,classic,98071500:00:00
411,2572,classic,98071500:00:00
548,3501,classic,98071600:00:00
1167,12335,classic,98071800:00:00
727,4723,classic,98071900:00:00
603,3850,classic,98072000:00:00
496,3183,junior,98072100:00:00
73,451,junior,98072100:00:00
146,822,classic,98072300:00:00
439,2779,classic,98072300:00:00
613,3913,classic,98072300:00:00
323,2065,junior,98072400:00:00
623,3984,classic,98072500:00:00
530,3360,classic,98072500:00:00
396,2508,classic,98072600:00:00
1076,10604,gold,98072700:00:00
344,2168,classic,98072700:00:00
525,3337,classic,98072700:00:00
42,264,junior,98072800:00:00
740,4823,junior,98072800:00:00
780,5333,classic,98072900:00:00
509,3253,gold,98073000:00:00
308,1938,classic,98073000:00:00
618,3947,classic,98073100:00:00
209,1251,classic,98073100:00:00
1155,12088,classic,98080100:00:00
95,519,junior,98080100:00:00
833,6299,classic,98080100:00:00
319,2038,junior,98080200:00:00
795,5563,classic,98080200:00:00
508,3249,classic,98080300:00:00
78,468,classic,98080400:00:00
683,4437,classic,98080500:00:00
32,219,classic,98080600:00:00
550,3515,classic,98080800:00:00
1217,13098,junior,98080900:00:00
1003,9274,classic,98080900:00:00
179,1059,classic,98081000:00:00
169,1019,classic,98081000:00:00
221,1339,classic,98081000:00:00
684,4457,classic,98081100:00:00
77,466,classic,98081300:00:00
581,3721,classic,98081300:00:00
47,280,classic,98081300:00:00
386,2478,classic,98081400:00:00
346,2177,classic,98081400:00:00
406,2548,classic,98081600:00:00
951,8392,classic,98081600:00:00
519,3297,classic,98081600:00:00
321,2058,gold,98081600:00:00
128,716,classic,98081900:00:00
711,4592,classic,98081900:00:00
538,3414,gold,98082000:00:00
29,192,classic,98082000:00:00
834,6301,classic,98082100:00:00
461,2977,gold,98082100:00:00
239,1453,gold,98082400:00:00
395,2502,classic,98082400:00:00
531,3378,gold,98082400:00:00
1150,12020,classic,98082500:00:00
96,528,classic,98082600:00:00
367,2343,classic,98082700:00:00
1023,9621,classic,98083000:00:00
702,4543,classic,98083000:00:00
405,2542,classic,98083100:00:00
480,3092,classic,98090100:00:00
1098,11063,classic,98090100:00:00
79,469,classic,98090200:00:00
402,2536,classic,98090300:00:00
551,3517,classic,98090300:00:00
425,2662,junior,98090400:00:00
1195,12787,gold,98090400:00:00
1154,12070,classic,98090500:00:00
307,1930,gold,98090500:00:00
752,4944,junior,98090600:00:00
134,769,classic,98090700:00:00
285,1811,gold,98091000:00:00
544,3448,gold,98091000:00:00
526,3339,classic,98091000:00:00
352,2235,classic,98091100:00:00
328,2121,junior,98091200:00:00
26,161,classic,98091400:00:00
141,808,classic,98091500:00:00
151,861,classic,98091600:00:00
203,1231,classic,98091600:00:00
653,4212,classic,98091600:00:00
880,7186,classic,98091700:00:00
620,3959,classic,98091700:00:00
630,4019,classic,98091800:00:00
1188,12678,classic,98091900:00:00
389,2489,gold,98091900:00:00
1024,9622,classic,98092000:00:00
193,1179,gold,98092100:00:00
758,5016,classic,98092100:00:00
634,4081,junior,98092200:00:00
361,2312,classic,98092300:00:00
242,1473,classic,98092400:00:00
923,7855,classic,98092400:00:00
1007,9333,gold,98092500:00:00
520,3308,classic,98092500:00:00
629,4018,junior,98092500:00:00
335,2137,classic,98092500:00:00
414,2606,classic,98092600:00:00
36,236,classic,98092800:00:00
561,3581,gold,98092800:00:00
291,1836,classic,98092900:00:00
231,1390,junior,98092900:00:00
782,5376,classic,98092900:00:00
180,1062,classic,98092900:00:00
765,5175,classic,98092900:00:00
357,2277,junior,98092900:00:00
554,3535,classic,98092900:00:00
956,8502,classic,98093000:00:00
676,4380,classic,98093000:00:00
255,1579,gold,98100100:00:00
1193,12743,classic,98100100:00:00
416,2616,classic,98100100:00:00
585,3753,gold,98100100:00:00
744,4863,classic,98100200:00:00
23,146,classic,98100300:00:00
394,2501,classic,98100500:00:00
460,2971,classic,98100500:00:00
35,231,classic,98100700:00:00
447,2845,classic,98100700:00:00
264,1669,classic,98100700:00:00
245,1483,classic,98100800:00:00
505,3233,junior,98100900:00:00
336,2138,junior,98100900:00:00
366,2335,classic,98100900:00:00
533,3384,classic,98100900:00:00
288,1826,classic,98101000:00:00
754,4976,junior,98101000:00:00
116,646,classic,98101100:00:00
1035,9732,classic,98101100:00:00
682,4429,classic,98101100:00:00
792,5526,classic,98101100:00:00
385,2476,classic,98101200:00:00
53,333,classic,98101300:00:00
751,4941,junior,98101500:00:00
614,3938,junior,98101600:00:00
957,8506,junior,98101600:00:00
1,9,gold,98101600:00:00
743,4862,gold,98101800:00:00
61,374,classic,98101800:00:00
60,370,classic,98101800:00:00
74,453,classic,98101800:00:00
749,4929,classic,98101900:00:00
339,2154,classic,98101900:00:00
769,5224,classic,98102000:00:00
488,3134,gold,98102000:00:00
31,208,classic,98102100:00:00
542,3439,classic,98102200:00:00
750,4937,classic,98102400:00:00
855,6764,classic,98102400:00:00
299,1886,classic,98102500:00:00
158,928,gold,98102500:00:00
857,6789,junior,98102500:00:00
230,1388,gold,98102500:00:00
295,1864,classic,98102600:00:00
584,3751,classic,98102800:00:00
449,2865,classic,98102800:00:00
351,2232,classic,98110100:00:00
138,791,classic,98110200:00:00
524,3333,classic,98110200:00:00
693,4495,junior,98110300:00:00
604,3858,classic,98110400:00:00
746,4901,classic,98110400:00:00
333,2128,classic,98110400:00:00
129,719,classic,98110500:00:00
429,2709,classic,98110500:00:00
424,2659,classic,98110600:00:00
345,2175,classic,98110700:00:00
1165,12291,classic,98110800:00:00
1070,10490,junior,98110800:00:00
217,1316,classic,98110900:00:00
636,4091,junior,98110900:00:00
820,6039,classic,98111000:00:00
46,273,classic,98111000:00:00
742,4833,classic,98111000:00:00
404,2540,junior,98111200:00:00
102,575,classic,98111200:00:00
455,2924,classic,98111300:00:00
253,1536,gold,98111400:00:00
570,3620,classic,98111400:00:00
27,167,junior,98111500:00:00
580,3713,classic,98111600:00:00
409,2562,classic,98111600:00:00
205,1242,classic,98111600:00:00
773,5245,classic,98111800:00:00
487,3130,classic,98111800:00:00
177,1056,classic,98111900:00:00
632,4069,classic,98111900:00:00
445,2820,gold,98111900:00:00
1001,9247,classic,98112000:00:00
257,1589,classic,98112000:00:00
178,1057,classic,98112100:00:00
704,4553,gold,98112100:00:00
56,339,classic,98112200:00:00
148,834,classic,98112200:00:00
392,2496,classic,98112200:00:00
523,3319,junior,98112300:00:00
1175,12494,classic,98112400:00:00
466,2998,classic,98112500:00:00
500,3192,classic,98112600:00:00
4,42,classic,98112600:00:00
388,2488,junior,98112600:00:00
164,992,classic,98112900:00:00
489,3135,classic,98112900:00:00
626,3992,classic,98113000:00:00
1169,12354,classic,98113000:00:00
1137,11771,gold,98120100:00:00
677,4382,junior,98120100:00:00
20,131,classic,98120200:00:00
657,4246,junior,98120200:00:00
219,1329,classic,98120400:00:00
819,5978,gold,98120600:00:00
1177,12535,gold,98120600:00:00
341,2156,gold,98120600:00:00
692,4493,classic,98120800:00:00
715,4639,junior,98120800:00:00
131,725,classic,98120800:00:00
201,1223,classic,98120800:00:00
605,3874,classic,98121100:00:00
306,1929,classic,98121100:00:00
378,2430,classic,98121100:00:00
549,3504,classic,98121200:00:00
371,2388,gold,98121300:00:00
147,826,junior,98121300:00:00
527,3348,junior,98121400:00:00
172,1030,classic,98121400:00:00
886,7325,classic,98121500:00:00
479,3085,classic,98121600:00:00
691,4492,classic,98121600:00:00
560,3577,classic,98121700:00:00
452,2910,classic,98121900:00:00
506,3236,gold,98121900:00:00
735,4772,classic,98121900:00:00
654,4230,classic,98122100:00:00
196,1197,classic,98122200:00:00
473,3063,classic,98122200:00:00
829,6255,classic,98122200:00:00
310,1947,junior,98122300:00:00
76,464,classic,98122300:00:00
573,3638,classic,98122300:00:00
240,1459,classic,98122300:00:00
728,4725,classic,98122400:00:00
924,7862,classic,98122400:00:00
486,3128,gold,98122500:00:00
1081,10696,classic,98122500:00:00
753,4974,classic,98122500:00:00
442,2796,classic,98122600:00:00
125,694,gold,98122600:00:00
674,4360,classic,98122800:00:00
322,2063,classic,98122800:00:00
685,4467,classic,98122900:00:00
635,4083,classic,98122900:00:00
